platform,campaign_id,adset_id,adset_name,audience_id,geo,currency,device,placement,optimization_event,bid_strategy,daily_budget
Meta,C_EIW1XF26,AS_IFU6FD6Y,Interest | Kuwait | Tablet | Reels,AU_82MUX4B0,Kuwait,KWD,Mobile,Feed,AppInstall,Lowest Cost,25.0
Meta,C_9OJW03S9,AS_ORYQ1L4A,Lookalike | Kuwait | Tablet | Stories,AU_YXV2KGAF,Kuwait,KWD,Desktop,Reels,AddToCart,Bid Cap,25.0
Meta,C_9OJW03S9,AS_WJNZ8KF9,CRM | Kuwait | Tablet | Stories,AU_2UHFKVML,Kuwait,KWD,Mobile,Marketplace,Lead,Lowest Cost,30.9
Meta,C_9OJW03S9,AS_XBBCVG64,Lookalike | Kuwait | Desktop | Reels,AU_YXV2KGAF,Kuwait,KWD,Mobile,Reels,LandingPageView,Cost Cap,25.0
Meta,C_N5HVMUTI,AS_9Z8DZTGA,CRM | Qatar | Mobile | Reels,AU_16UMX1BZ,Qatar,QAR,Desktop,Audience Network,Purchase,Maximize Conversions,32.82
Meta,C_N5HVMUTI,AS_EAYJ409G,Interest | Qatar | Mobile | Marketplace,AU_AEZ732PG,Qatar,QAR,Mobile,Reels,Purchase,Maximize Conversions,25.0
Meta,C_N5HVMUTI,AS_S953QDCA,CRM | Kuwait | Mobile | Feed,AU_ZHKKEN65,Kuwait,KWD,Tablet,Audience Network,Purchase,Maximize Conversions,33.79
Meta,C_JT1PYYYO,AS_UQR1KCSJ,Lookalike | Kuwait | Tablet | Reels,AU_YXV2KGAF,Kuwait,KWD,Desktop,Audience Network,LandingPageView,Bid Cap,25.0
Meta,C_JT1PYYYO,AS_MFLSXWZ7,Interest | KSA | Mobile | Reels,AU_BXMZZNA1,KSA,SAR,Mobile,Marketplace,AddToCart,Lowest Cost,25.61
Meta,C_LYFBDC9X,AS_ZHFQUOF6,Lookalike | Kuwait | Desktop | Reels,AU_CSOHDMME,Kuwait,KWD,Desktop,Reels,AddToCart,Cost Cap,27.7
Meta,C_LYFBDC9X,AS_PJA3MCKO,Broad | Kuwait | Mobile | Audience Network,AU_CNAU0XLT,Kuwait,KWD,Desktop,Reels,LandingPageView,Lowest Cost,25.0
Meta,C_BRSVKQ5G,AS_J6DN94SH,Broad | Kuwait | Desktop | Reels,AU_CNAU0XLT,Kuwait,KWD,Desktop,Marketplace,AddToCart,Cost Cap,25.36
Meta,C_BRSVKQ5G,AS_7SLX1C0N,Interest | Qatar | Desktop | Audience Network,AU_CQURTAEB,Qatar,QAR,Mobile,Reels,Lead,Cost Cap,70.87
Meta,C_KXAW727E,AS_UYDSG526,CRM | Kuwait | Mobile | Audience Network,AU_2UHFKVML,Kuwait,KWD,Tablet,Reels,Purchase,Cost Cap,25.0
Meta,C_KXAW727E,AS_2GWGLCRH,Interest | Qatar | Desktop | Marketplace,AU_AEZ732PG,Qatar,QAR,Tablet,Audience Network,AddToCart,Lowest Cost,28.6
Meta,C_DXVZPV1U,AS_JWP1AXG7,Broad | Kuwait | Mobile | Feed,AU_H9NYWT1F,Kuwait,KWD,Desktop,Marketplace,Lead,Lowest Cost,38.37
Meta,C_DXVZPV1U,AS_1PCSHTWK,Broad | Kuwait | Mobile | Feed,AU_H9NYWT1F,Kuwait,KWD,Tablet,Audience Network,AddToCart,Lowest Cost,31.36
Meta,C_DXVZPV1U,AS_4TBPVOM6,Interest | Qatar | Tablet | Marketplace,AU_ZX3KIAD9,Qatar,QAR,Tablet,Marketplace,Purchase,Bid Cap,25.0
Meta,C_DXVZPV1U,AS_D7Y2WG7O,Interest | Qatar | Tablet | Reels,AU_ZX3KIAD9,Qatar,QAR,Desktop,Stories,AddToCart,Cost Cap,25.0
Meta,C_5Y2TL8TJ,AS_FVUPUN1A,Broad | KSA | Mobile | Feed,AU_3YQ15I5L,KSA,SAR,Desktop,Audience Network,LandingPageView,Bid Cap,25.0
Meta,C_5Y2TL8TJ,AS_XUXET6LH,Lookalike | Qatar | Tablet | Stories,AU_0VSTQQZP,Qatar,QAR,Tablet,Stories,AppInstall,Maximize Conversions,61.34
Google Ads,C_M0HJK76G,AS_7531DAUJ,Interest | Qatar | Tablet | YouTube,AU_CQURTAEB,Qatar,QAR,Desktop,Display,Lead,Lowest Cost,25.0
Google Ads,C_M0HJK76G,AS_Q5EPYO0T,Interest | Qatar | Desktop | Discover,AU_AEZ732PG,Qatar,QAR,Mobile,YouTube,Purchase,Cost Cap,30.85
Google Ads,C_1W9PYM3S,AS_RBVJPIFM,Lookalike | Qatar | Desktop | Gmail,AU_C3EDQMEV,Qatar,QAR,Mobile,Gmail,LandingPageView,Maximize Conversions,25.0
Google Ads,C_1W9PYM3S,AS_X8PZ6NIH,Interest | Kuwait | Tablet | Gmail,AU_82MUX4B0,Kuwait,KWD,Mobile,Gmail,AddToCart,Maximize Conversions,25.0
Google Ads,C_ETFOSIZS,AS_IRLBXW0B,CRM | Kuwait | Tablet | Discover,AU_PXQMB0Y0,Kuwait,KWD,Mobile,Discover,AddToCart,Lowest Cost,47.75
Google Ads,C_ETFOSIZS,AS_LO57Q1WA,CRM | Kuwait | Mobile | Display,AU_ZR0ST0DT,Kuwait,KWD,Mobile,Gmail,AppInstall,Lowest Cost,25.0
Google Ads,C_ETFOSIZS,AS_626DN16I,Retargeting | KSA | Desktop | YouTube,AU_XZMAS6EN,KSA,SAR,Mobile,Gmail,AddToCart,Cost Cap,31.36
Google Ads,C_ETFOSIZS,AS_KJ3ZNHSA,Broad | Qatar | Desktop | Discover,AU_VZHMASQX,Qatar,QAR,Mobile,Search,Purchase,Bid Cap,25.0
Google Ads,C_5M8UAWFS,AS_FIBBZJSX,Lookalike | Kuwait | Mobile | Gmail,AU_YXV2KGAF,Kuwait,KWD,Tablet,YouTube,Purchase,Bid Cap,25.0
Google Ads,C_5M8UAWFS,AS_24MNXAC6,Interest | KSA | Desktop | YouTube,AU_BXMZZNA1,KSA,SAR,Desktop,Search,Purchase,Maximize Conversions,25.0
Google Ads,C_T0X4ITV7,AS_2FJX90X7,Broad | Kuwait | Mobile | Gmail,AU_CNAU0XLT,Kuwait,KWD,Desktop,Discover,AddToCart,Lowest Cost,25.0
Google Ads,C_T0X4ITV7,AS_H6F0E2I6,Retargeting | Kuwait | Tablet | Gmail,AU_PUU3XF6M,Kuwait,KWD,Tablet,Search,AppInstall,Lowest Cost,25.0
Google Ads,C_WKXVAQHP,AS_CWGW9UHC,Lookalike | Qatar | Tablet | YouTube,AU_WHJPMC9C,Qatar,QAR,Desktop,Display,Lead,Maximize Conversions,25.0
Google Ads,C_WKXVAQHP,AS_2ABVJ564,Broad | Kuwait | Mobile | Search,AU_47P9PB0T,Kuwait,KWD,Mobile,YouTube,AppInstall,Maximize Conversions,25.6
Google Ads,C_WKXVAQHP,AS_4VOBP3CJ,CRM | Qatar | Tablet | YouTube,AU_16UMX1BZ,Qatar,QAR,Desktop,Discover,AddToCart,Lowest Cost,26.1
Google Ads,C_WJINA3Z2,AS_EJTTQ9VE,Broad | Kuwait | Mobile | Gmail,AU_0FQO1XO5,Kuwait,KWD,Mobile,Gmail,Lead,Bid Cap,25.0
Google Ads,C_WJINA3Z2,AS_IAMR8AUB,Lookalike | Qatar | Mobile | Display,AU_WHJPMC9C,Qatar,QAR,Desktop,Search,LandingPageView,Maximize Conversions,48.13
Google Ads,C_WJINA3Z2,AS_JVOQ4CT9,Lookalike | Qatar | Tablet | Discover,AU_WHJPMC9C,Qatar,QAR,Tablet,Display,AddToCart,Bid Cap,25.0
Google Ads,C_WJINA3Z2,AS_N9LQXJLK,Interest | Qatar | Tablet | Search,AU_ZX3KIAD9,Qatar,QAR,Desktop,YouTube,LandingPageView,Maximize Conversions,30.62
Google Ads,C_OBQBQ1PO,AS_RT5NK4RI,CRM | Kuwait | Desktop | Display,AU_ZHKKEN65,Kuwait,KWD,Mobile,Display,Purchase,Maximize Conversions,101.48
Google Ads,C_OBQBQ1PO,AS_AITJ6WGK,Lookalike | Kuwait | Desktop | Discover,AU_EX1RDRGD,Kuwait,KWD,Mobile,Discover,AddToCart,Maximize Conversions,25.0
Google Ads,C_OBQBQ1PO,AS_J86H7W5E,Broad | KSA | Desktop | YouTube,AU_PLPPJSMU,KSA,SAR,Mobile,Search,AddToCart,Cost Cap,25.0
Google Ads,C_S9V0RZ1U,AS_YY0JAP6Q,Interest | Qatar | Tablet | Gmail,AU_CQURTAEB,Qatar,QAR,Tablet,Discover,Lead,Cost Cap,25.0
Google Ads,C_S9V0RZ1U,AS_W74OJE7X,CRM | Kuwait | Tablet | YouTube,AU_PXQMB0Y0,Kuwait,KWD,Tablet,YouTube,AddToCart,Cost Cap,25.0
Google Ads,C_AIX57PX7,AS_9MAQDLT8,Interest | Qatar | Desktop | Display,AU_O3OQSG5L,Qatar,QAR,Desktop,YouTube,AddToCart,Maximize Conversions,26.3
Google Ads,C_AIX57PX7,AS_QWPYIMXE,Broad | KSA | Tablet | YouTube,AU_3YQ15I5L,KSA,SAR,Desktop,Search,Purchase,Maximize Conversions,56.46
TikTok,C_S9VY3HFO,AS_FN3DMV4D,Broad | Kuwait | Tablet | TopView,AU_47P9PB0T,Kuwait,KWD,Tablet,Pangle,LandingPageView,Lowest Cost,28.17
TikTok,C_S9VY3HFO,AS_N8X35JXV,Retargeting | Kuwait | Mobile | TopView,AU_67OG3CGA,Kuwait,KWD,Tablet,For You,AddToCart,Lowest Cost,25.0
TikTok,C_S9VY3HFO,AS_KJN7G3GM,Broad | Qatar | Mobile | For You,AU_EC498UK1,Qatar,QAR,Desktop,Pangle,AddToCart,Maximize Conversions,33.76
TikTok,C_1VZHCWHN,AS_WB5FM5RT,CRM | Kuwait | Tablet | For You,AU_2UHFKVML,Kuwait,KWD,Mobile,Pangle,LandingPageView,Bid Cap,33.28
TikTok,C_1VZHCWHN,AS_XLHTE93G,Interest | Qatar | Tablet | For You,AU_FNG052LO,Qatar,QAR,Mobile,TopView,LandingPageView,Lowest Cost,25.0
TikTok,C_1VZHCWHN,AS_TJQGGPHJ,CRM | Qatar | Desktop | Stories,AU_16UMX1BZ,Qatar,QAR,Tablet,For You,AddToCart,Maximize Conversions,25.0
TikTok,C_GAGD5NOF,AS_1Z7HSHFN,CRM | Kuwait | Mobile | Pangle,AU_2UHFKVML,Kuwait,KWD,Tablet,For You,Lead,Lowest Cost,25.0
TikTok,C_GAGD5NOF,AS_7VEEMDX0,Lookalike | Kuwait | Mobile | Stories,AU_P8HSSRRX,Kuwait,KWD,Tablet,Pangle,LandingPageView,Maximize Conversions,25.0
TikTok,C_39P5DZZV,AS_V1TAT5BH,Interest | Kuwait | Desktop | TopView,AU_QAGWNCXV,Kuwait,KWD,Desktop,Stories,LandingPageView,Cost Cap,25.0
TikTok,C_39P5DZZV,AS_JXKOWZT5,Interest | KSA | Desktop | Pangle,AU_LBA53P23,KSA,SAR,Mobile,TopView,AppInstall,Lowest Cost,40.73
TikTok,C_2RSXTY7D,AS_BDH9Y2T6,Lookalike | Qatar | Mobile | TopView,AU_C3EDQMEV,Qatar,QAR,Mobile,Stories,LandingPageView,Cost Cap,25.0
TikTok,C_2RSXTY7D,AS_Y5XRUK5D,CRM | Kuwait | Tablet | Stories,AU_PXQMB0Y0,Kuwait,KWD,Mobile,Pangle,AppInstall,Lowest Cost,25.0
TikTok,C_2RSXTY7D,AS_GQXZUY4R,Broad | KSA | Mobile | Pangle,AU_3YQ15I5L,KSA,SAR,Tablet,TopView,AppInstall,Maximize Conversions,31.24
TikTok,C_TKLHZZVZ,AS_LJ870SIN,CRM | Kuwait | Desktop | For You,AU_ZR0ST0DT,Kuwait,KWD,Desktop,For You,AppInstall,Lowest Cost,32.54
TikTok,C_TKLHZZVZ,AS_UNA3I2R6,Retargeting | Kuwait | Mobile | TopView,AU_PUU3XF6M,Kuwait,KWD,Tablet,For You,Purchase,Maximize Conversions,25.0
TikTok,C_TKLHZZVZ,AS_6R1XERFH,Broad | Qatar | Desktop | TopView,AU_EC498UK1,Qatar,QAR,Tablet,TopView,Lead,Lowest Cost,64.21
TikTok,C_M9SBBEWN,AS_8Q9WKUWT,CRM | Qatar | Mobile | For You,AU_5MTIC4UD,Qatar,QAR,Tablet,Pangle,AddToCart,Maximize Conversions,25.0
TikTok,C_M9SBBEWN,AS_6YNWQBMR,Broad | Qatar | Tablet | TopView,AU_VZHMASQX,Qatar,QAR,Tablet,TopView,Lead,Maximize Conversions,25.0
TikTok,C_M9SBBEWN,AS_935NAPNW,Lookalike | KSA | Desktop | For You,AU_TIQ71HGE,KSA,SAR,Mobile,Pangle,Lead,Maximize Conversions,25.0
TikTok,C_M9SBBEWN,AS_C3DZPOC9,Broad | Qatar | Tablet | TopView,AU_EC498UK1,Qatar,QAR,Desktop,For You,Lead,Maximize Conversions,25.0
TikTok,C_F698ED8S,AS_9NBL63NH,CRM | Kuwait | Tablet | Pangle,AU_ZR0ST0DT,Kuwait,KWD,Tablet,TopView,Purchase,Lowest Cost,35.85
TikTok,C_F698ED8S,AS_1DLS2QIQ,Lookalike | Kuwait | Desktop | Stories,AU_CSOHDMME,Kuwait,KWD,Mobile,Stories,LandingPageView,Lowest Cost,25.0
TikTok,C_PVF8KGCU,AS_8H3KN7D8,CRM | Qatar | Mobile | TopView,AU_G3F9CAIO,Qatar,QAR,Tablet,For You,Lead,Cost Cap,25.57
TikTok,C_PVF8KGCU,AS_8AEXEJ9H,Broad | Qatar | Tablet | TopView,AU_EC498UK1,Qatar,QAR,Tablet,Stories,LandingPageView,Cost Cap,25.0
TikTok,C_WVRAMEFK,AS_LCJ4GDYQ,Broad | Kuwait | Tablet | For You,AU_DJZDNBJ0,Kuwait,KWD,Tablet,Pangle,Purchase,Lowest Cost,25.0
TikTok,C_WVRAMEFK,AS_XP4QADGY,Interest | Kuwait | Desktop | Pangle,AU_X6KJWSK7,Kuwait,KWD,Desktop,For You,LandingPageView,Maximize Conversions,55.07
TikTok,C_WVRAMEFK,AS_9DE6O4NY,Lookalike | KSA | Mobile | For You,AU_YQOAA8T3,KSA,SAR,Desktop,For You,Lead,Cost Cap,51.84
Snapchat,C_XJYUCXLO,AS_2NCS2IMT,Lookalike | Kuwait | Tablet | Discover,AU_EX1RDRGD,Kuwait,KWD,Tablet,Spotlight,Purchase,Maximize Conversions,40.58
Snapchat,C_XJYUCXLO,AS_3ROUC0LV,Retargeting | KSA | Desktop | Stories,AU_XZMAS6EN,KSA,SAR,Tablet,Discover,Lead,Cost Cap,25.0
Snapchat,C_7IUDKO1K,AS_OJR0GD1G,CRM | Kuwait | Mobile | Discover,AU_FD02IS5D,Kuwait,KWD,Mobile,Discover,Lead,Cost Cap,25.0
Snapchat,C_7IUDKO1K,AS_QED4NUA2,CRM | Kuwait | Desktop | Discover,AU_ZR0ST0DT,Kuwait,KWD,Tablet,Spotlight,LandingPageView,Bid Cap,29.9
Snapchat,C_7IUDKO1K,AS_RHC6IZ0E,Broad | KSA | Desktop | Publisher,AU_3YQ15I5L,KSA,SAR,Desktop,Discover,AddToCart,Maximize Conversions,25.0
Snapchat,C_RBEALFPA,AS_PBBHFFMJ,CRM | Kuwait | Desktop | Discover,AU_2UHFKVML,Kuwait,KWD,Mobile,Discover,AddToCart,Bid Cap,55.82
Snapchat,C_RBEALFPA,AS_SBOTE4GE,CRM | Qatar | Tablet | Spotlight,AU_G3F9CAIO,Qatar,QAR,Mobile,Publisher,LandingPageView,Cost Cap,59.68
Snapchat,C_RBEALFPA,AS_DO3VTZU7,Lookalike | Qatar | Tablet | Discover,AU_WHJPMC9C,Qatar,QAR,Mobile,Discover,Purchase,Bid Cap,25.0
Snapchat,C_TEGEY14E,AS_40X82UDG,Interest | Kuwait | Desktop | Stories,AU_82MUX4B0,Kuwait,KWD,Tablet,Discover,Lead,Lowest Cost,25.0
Snapchat,C_TEGEY14E,AS_P39HFQY4,Broad | Kuwait | Mobile | Spotlight,AU_47P9PB0T,Kuwait,KWD,Tablet,Discover,LandingPageView,Maximize Conversions,30.44
Snapchat,C_TEGEY14E,AS_TXWZYSHO,Lookalike | Qatar | Mobile | Publisher,AU_WHJPMC9C,Qatar,QAR,Tablet,Spotlight,Purchase,Cost Cap,25.0
Snapchat,C_8D93V43N,AS_EGHUBBOX,Retargeting | Kuwait | Mobile | Stories,AU_YZ21TBIC,Kuwait,KWD,Desktop,Stories,Lead,Maximize Conversions,25.0
Snapchat,C_8D93V43N,AS_7S6WGODO,Interest | Qatar | Desktop | Publisher,AU_O3OQSG5L,Qatar,QAR,Mobile,Publisher,Purchase,Maximize Conversions,25.0
Snapchat,C_HXDDN6B6,AS_J9NJJ2B1,Broad | Qatar | Mobile | Discover,AU_EC498UK1,Qatar,QAR,Tablet,Discover,Lead,Maximize Conversions,25.0
Snapchat,C_HXDDN6B6,AS_H3NR16D5,Lookalike | Qatar | Mobile | Publisher,AU_C3EDQMEV,Qatar,QAR,Mobile,Stories,AppInstall,Maximize Conversions,99.23
Snapchat,C_HXDDN6B6,AS_KN2FJMUH,Interest | Qatar | Tablet | Discover,AU_O3OQSG5L,Qatar,QAR,Mobile,Publisher,LandingPageView,Maximize Conversions,25.0
Snapchat,C_1TK9AJXZ,AS_99ZLSHIB,Lookalike | Qatar | Tablet | Discover,AU_C3EDQMEV,Qatar,QAR,Desktop,Publisher,LandingPageView,Bid Cap,27.99
Snapchat,C_1TK9AJXZ,AS_YBEMNDIJ,Retargeting | Kuwait | Desktop | Spotlight,AU_67OG3CGA,Kuwait,KWD,Mobile,Stories,LandingPageView,Bid Cap,25.0
Snapchat,C_CFDKHCBU,AS_KGLMWMXH,Broad | Kuwait | Desktop | Discover,AU_CNAU0XLT,Kuwait,KWD,Desktop,Publisher,AddToCart,Maximize Conversions,25.0
Snapchat,C_CFDKHCBU,AS_BVZ6JD97,Broad | Qatar | Mobile | Publisher,AU_EC498UK1,Qatar,QAR,Mobile,Publisher,Lead,Lowest Cost,25.0
Snapchat,C_CFDKHCBU,AS_S61AFIGY,Interest | Qatar | Desktop | Stories,AU_O3OQSG5L,Qatar,QAR,Tablet,Publisher,LandingPageView,Bid Cap,26.31
